year,mean_mean_T,sd
2000,-0.14725274725274726,4.785413964662494
2001,-3.261111111111111,5.922195812867265
2003,0.15645161290322582,4.673502290136807
2004,-2.234065934065934,4.608186429972443
2005,-1.0911111111111111,3.5509262739806275
2006,-1.3477777777777777,5.420129518287016
2007,-1.5922222222222222,5.089479737164324
2008,0.8967032967032967,2.7165521672987762
2009,-3.7266666666666666,4.892043528796576
2010,-8.649444444444445,5.188803278519146
2011,-2.7111111111111112,5.61679252795778
2012,-4.059340659340659,4.668368214125979
2013,-1.8205555555555555,5.291199469186698
2014,-0.9594444444444444,4.36215784173438
2015,0.5316666666666666,3.8191155073428935
2016,-2.2016483516483514,5.705379773850147
2017,-1.0833333333333333,3.210157684530553
2018,-2.2466666666666666,3.8166091780502662
2019,-0.6905555555555556,4.410908938690327
2020,2.7747252747252746,2.566995364519617
2021,-3.328888888888889,5.2546981534760695
